Name,CAS,Phase,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,phi0,N,Source,flag,Cat_1,Cat_2,Cat_3
2-Ethylhexanoic acid,149-57-5,Rxi5ms,-130.85,12421.0,17.58,127.12,29.758,146.17,-50191.0,-80.155,90.0,0.001,NaN,Gaida2021,String[],carboxylic acid,Grob,
"2,6-Xylidine",87-62-7,Rxi5ms,-75.562,9128.7,9.8029,142.13,34.097,81.506,-46301.0,-66.289,90.0,0.001,NaN,Gaida2021,String[],amine,aromatic,Grob
C10 FAME,110-42-9,Rxi5ms,-90.294,10984.0,11.615,161.92,31.918,96.575,-56255.0,-84.878,90.0,0.001,NaN,Gaida2021,String[],FAME,Grob,FAMEs
Dicyclohexylamine,101-83-7,Rxi5ms,-86.326,10716.0,11.156,181.14,36.539,92.754,-55414.0,-78.233,90.0,0.001,NaN,Gaida2021,String[],amine,Grob,
C11 FAME,1731-86-8,Rxi5ms,-94.077,11639.0,12.065,176.06,32.446,100.32,-60342.0,-90.538,90.0,0.001,NaN,Gaida2021,String[],FAME,Grob,FAMEs
C12 FAME,111-82-0,Rxi5ms,-98.831,12348.0,12.654,189.36,32.934,105.21,-64459.0,-96.302,90.0,0.001,NaN,Gaida2021,String[],FAME,Grob,FAMEs
C8,111-65-9,Rxi5ms,-78.355,7885.5,10.427,69.344,27.188,86.692,-34082.0,-53.754,90.0,0.001,NaN,Gaida2021,String[],alkane,alkanes,
C9,111-84-2,Rxi5ms,-40.75,6439.8,4.8422,90.152,28.199,40.26,-38923.0,-61.229,90.0,0.001,NaN,Gaida2021,String[],alkane,alkanes,
C10,124-18-5,Rxi5ms,-46.887,7200.1,5.6461,109.1,28.981,46.944,-42817.0,-66.165,90.0,0.001,NaN,Gaida2021,String[],alkane,Grob,alkanes
C11,1120-21-4,Rxi5ms,-55.876,8115.5,6.8599,126.62,29.743,57.036,-46763.0,-71.323,90.0,0.001,NaN,Gaida2021,String[],alkane,Grob,alkanes
C12,112-40-3,Rxi5ms,-69.73,9296.4,8.7734,143.0,30.676,72.946,-50804.0,-76.822,90.0,0.001,NaN,Gaida2021,String[],alkane,alkanes,
C13,629-50-5,Rxi5ms,-69.688,9718.3,8.6837,158.32,31.175,72.2,-54583.0,-81.61,90.0,0.001,NaN,Gaida2021,String[],alkane,alkanes,
C14,629-59-4,Rxi5ms,-76.115,10493.0,9.5251,172.73,31.83,79.196,-58484.0,-86.816,90.0,0.001,NaN,Gaida2021,String[],alkane,alkanes,
C15,629-62-9,Rxi5ms,-80.216,11148.0,10.028,186.18,32.25,83.375,-62412.0,-92.101,90.0,0.001,NaN,Gaida2021,String[],alkane,alkanes,
C16,544-76-3,Rxi5ms,-90.437,12166.0,11.399,198.95,32.851,94.78,-66734.0,-98.444,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C17,629-78-7,Rxi5ms,-91.969,12647.0,11.544,211.01,33.213,95.981,-70297.0,-102.9,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C18,593-45-3,Rxi5ms,-99.292,13500.0,12.5,222.42,33.617,103.93,-74502.0,-108.97,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C19,629-92-5,Rxi5ms,-104.46,14202.0,13.158,233.4,34.044,109.4,-78354.0,-114.21,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C20,112-95-8,Rxi5ms,-112.53,15103.0,14.218,243.8,34.471,118.22,-82642.0,-120.53,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C21,629-94-7,Rxi5ms,-119.37,15924.0,15.106,253.74,34.855,125.6,-86788.0,-126.52,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C22,629-97-0,Rxi5ms,-122.98,16528.0,15.542,263.19,35.116,129.23,-90493.0,-131.48,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C23,638-67-5,Rxi5ms,-129.37,17320.0,16.367,272.3,35.448,136.08,-94589.0,-137.38,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C24,646-31-1,Rxi5ms,-134.44,18023.0,17.006,280.99,35.708,141.39,-98504.0,-142.87,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C25,629-99-2,Rxi5ms,-139.78,18746.0,17.683,289.37,35.961,147.02,-102470.0,-148.49,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C26,630-01-3,Rxi5ms,-144.56,19423.0,18.284,297.41,36.208,152.02,-106280.0,-153.79,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C27,593-49-7,Rxi5ms,-149.16,20089.0,18.859,305.16,36.422,156.8,-110090.0,-159.07,90.0,0.001,NaN,Gaida2021,String[],alkane,alkanes,
C28,630-02-4,Rxi5ms,-152.33,20653.0,19.237,312.55,36.549,159.94,-113630.0,-163.79,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
C29,630-03-5,Rxi5ms,-166.6,22017.0,21.139,319.45,37.005,175.76,-119230.0,-173.31,90.0,0.001,NaN,Gaida2021,String[],alkane,alkanes,
C30,638-68-6,Rxi5ms,-171.53,22684.0,21.77,327.33,37.514,181.0,-122870.0,-178.21,90.0,0.001,NaN,Gaida2021,String[],alkanes,alkane,
2-Octanone,111-13-7,Rtx5,-44.36,7132.4,5.2136,115.61,29.601,43.348,-43560.0,-69.952,90.0,0.0015625,NaN,Hou2018a,String[],ketone,alkanones,
n-Decane,124-18-5,Rtx5,-43.0,7127.1,4.9951,116.88,29.373,41.532,-44176.0,-71.17,90.0,0.0015625,NaN,Hou2018a,String[],alkane,Grob,alkanes
1-Octanol,111-87-5,Rtx5,-64.672,8612.4,8.0621,129.48,30.209,67.032,-47265.0,-75.538,90.0,0.0015625,NaN,Hou2018a,String[],alcohol,Grob,alcohols
"2,4-Dimethylphenol",105-67-9,Rtx5,-83.1,9865.2,10.696,144.27,32.263,88.932,-49728.0,-77.76,90.0,0.0015625,NaN,Hou2018a,String[],aromatic,,
"2,6-Dimethylaniline",87-62-7,Rtx5,-59.576,8403.0,7.4122,151.18,34.245,61.628,-47486.0,-70.421,90.0,0.0015625,NaN,Hou2018a,String[],amine,aromatic,Grob
"2,3-Butanediol",513-85-9,Rtx5,-50.02,6670.9,6.13,73.47,26.428,50.968,-36956.0,-64.477,90.0,0.0015625,NaN,Hou2018c,String[],alcohol,,
Decane,124-18-5,Rtx5,-45.96,7279.7,5.42,115.89,29.268,45.064,-44161.0,-71.422,90.0,0.0015625,NaN,Hou2018c,String[],alkane,Grob,alkanes
1-Octanol,111-87-5,Rtx5,-64.37,8586.8,8.02,129.05,30.173,66.682,-47179.0,-75.442,90.0,0.0015625,NaN,Hou2018c,String[],alcohol,Grob,alcohols
Undecane,1120-21-4,Rtx5,-55.89,8239.7,6.78,134.44,30.337,56.372,-48037.0,-76.02,90.0,0.0015625,NaN,Hou2018c,String[],alkane,Grob,alkanes
"2,6-Dimethylaniline",87-62-7,Rtx5,-59.5,8397.7,7.4,150.8,34.168,61.527,-47478.0,-70.493,90.0,0.0015625,NaN,Hou2018c,String[],amine,aromatic,Grob
Methyl decanoate,110-42-9,Rtx5,-80.29,10590.0,10.09,170.6,32.217,83.893,-57582.0,-89.142,90.0,0.0015625,NaN,Hou2018c,String[],FAME,Grob,FAMEs
Methyl laurate,111-82-0,Rtx5,-100.61,12647.0,12.81,198.16,33.61,106.51,-66472.0,-102.16,90.0,0.0015625,NaN,Hou2018c,String[],FAME,Grob,FAMEs
Heptane,142-82-5,SLB5ms,-56.557,6293.0,7.3385,44.733,25.516,61.016,-30165.0,-49.551,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Octane,111-65-9,SLB5ms,-61.753,7049.1,7.9878,67.34,26.779,66.414,-34491.0,-55.531,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
nonane,111-84-2,SLB5ms,-66.978,7807.3,8.636,87.415,27.7,71.804,-38838.0,-61.808,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Decane,124-18-5,SLB5ms,-71.7,8537.7,9.2151,106.43,28.589,76.619,-43162.0,-67.876,90.0,0.001,NaN,Karolat2010,String[],alkane,Grob,alkanes
Undecane,1120-21-4,SLB5ms,-78.316,9353.4,10.078,124.73,29.627,83.795,-47338.0,-73.406,90.0,0.001,NaN,Karolat2010,String[],alkane,Grob,alkanes
dodecane,112-40-3,SLB5ms,-86.394,10282.0,11.134,141.24,30.299,92.576,-51867.0,-80.028,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Tridecane,629-50-5,SLB5ms,-92.087,11061.0,11.854,156.65,30.962,98.557,-56176.0,-86.118,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Tetradecane,629-59-4,SLB5ms,-97.314,11810.0,12.508,171.11,31.565,104.0,-60424.0,-92.08,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Pentadecane,629-62-9,SLB5ms,-102.52,12553.0,13.159,184.74,32.117,109.41,-64642.0,-97.992,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
1-octanol,111-87-5,SLB5ms,-85.639,9637.8,11.153,119.49,29.317,92.73,-46458.0,-72.689,90.0,0.001,NaN,Karolat2010,String[],alcohol,Grob,alcohols
1-nonanol,143-08-8,SLB5ms,-91.545,10430.0,11.904,136.58,30.234,98.978,-50778.0,-78.715,90.0,0.001,NaN,Karolat2010,String[],alcohol,alcohols,
2-octanol,123-96-6,SLB5ms,-81.521,9086.4,10.629,107.02,28.644,88.373,-43456.0,-68.49,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
2-nonanol,628-99-9,SLB5ms,-86.711,9845.3,11.275,124.84,29.561,93.742,-47816.0,-74.618,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
5-nonanol,623-93-8,SLB5ms,-84.043,9625.9,10.91,122.91,29.57,90.713,-47092.0,-73.325,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
5-decanol,5205-34-5,SLB5ms,-89.552,10399.0,11.602,139.53,30.355,96.466,-51427.0,-79.464,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
2-octanone,111-13-7,SLB5ms,-75.421,8660.8,9.7803,105.28,28.875,81.318,-42479.0,-66.411,90.0,0.001,NaN,Karolat2010,String[],ketone,alkanones,
2-decanone,693-54-9,SLB5ms,-85.724,10159.0,11.066,140.19,30.59,92.011,-51056.0,-78.351,90.0,0.001,NaN,Karolat2010,String[],ketone,alkanones,
Heptane,142-82-5,SPB50,-47.648,5492.9,6.1215,28.235,24.9,50.897,-27187.0,-45.241,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Octane,111-65-9,SPB50,-54.304,6285.7,6.9943,51.05,26.157,58.154,-31144.0,-50.545,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Nonane,111-84-2,SPB50,-58.701,6965.4,7.5355,71.902,27.274,62.654,-35161.0,-56.076,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Decane,124-18-5,SPB50,-62.816,7628.4,8.0361,91.118,28.225,66.816,-39162.0,-61.601,90.0,0.001,NaN,Karolat2010,String[],alkane,Grob,alkanes
undecane,1120-21-4,SPB50,-69.788,8452.0,8.946,108.95,29.004,74.381,-43262.0,-67.409,90.0,0.001,NaN,Karolat2010,String[],alkane,Grob,alkanes
dodecane,112-40-3,SPB50,-75.598,9211.1,9.6882,125.51,29.712,80.552,-47333.0,-73.163,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
tridecane,629-50-5,SPB50,-80.041,9886.5,10.237,140.98,30.369,85.114,-51292.0,-78.651,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
tetradecane,629-59-4,SPB50,-84.169,10541.0,10.741,155.5,30.95,89.308,-55211.0,-84.056,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
pentadecane,629-62-9,SPB50,-88.112,11182.0,11.22,169.18,31.461,93.29,-59093.0,-89.389,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
1-octanol,111-87-5,SPB50,-74.863,8983.4,9.6415,121.98,30.177,80.164,-45581.0,-69.726,90.0,0.001,NaN,Karolat2010,String[],alcohol,Grob,alcohols
1-nonanol,143-08-8,SPB50,-79.839,9696.4,10.265,138.26,30.925,85.349,-49626.0,-75.354,90.0,0.001,NaN,Karolat2010,String[],alcohol,alcohols,
2-octanol,123-96-6,SPB50,-72.726,8544.9,9.3886,107.11,29.065,78.061,-42698.0,-66.461,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
2-nonanol,628-99-9,SPB50,-76.078,9162.8,9.7813,124.17,29.919,81.326,-46650.0,-71.822,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
5-nonanol,623-93-8,SPB50,-75.928,9071.8,9.7799,121.56,29.894,81.315,-45898.0,-70.65,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
5-decanol,5205-34-5,SPB50,-79.344,9693.1,10.179,137.35,30.558,84.635,-49858.0,-76.158,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
2-octanone,111-13-7,SPB50,-71.466,8538.9,9.2,110.7,29.424,76.493,-43218.0,-66.799,90.0,0.001,NaN,Karolat2010,String[],ketone,alkanones,
2-decanone,693-54-9,SPB50,-79.962,9862.4,10.245,143.13,30.958,85.182,-51067.0,-77.525,90.0,0.001,NaN,Karolat2010,String[],ketone,alkanones,
Heptane,142-82-5,Wax,-50.964,5072.1,6.7684,1.2684,23.425,56.276,-21735.0,-35.726,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Octane,111-65-9,Wax,-59.511,5922.9,7.9253,24.701,24.904,65.895,-25316.0,-40.472,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
nonane,111-84-2,Wax,-61.706,6470.6,8.1446,46.162,26.346,67.718,-29208.0,-46.149,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
decane,124-18-5,Wax,-67.998,7220.4,8.9645,66.037,27.525,74.535,-32966.0,-51.461,90.0,0.001,NaN,Karolat2010,String[],alkane,Grob,alkanes
Undecane,1120-21-4,Wax,-69.799,7731.8,9.1335,84.457,28.637,75.94,-36708.0,-56.75,90.0,0.001,NaN,Karolat2010,String[],alkane,Grob,alkanes
Dodecane,112-40-3,Wax,-75.107,8423.0,9.8131,101.69,29.612,81.591,-40403.0,-61.921,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Tridecane,629-50-5,Wax,-80.563,9121.7,10.514,117.84,30.509,87.418,-44096.0,-67.105,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Tetradecane,629-59-4,Wax,-85.67,9800.7,11.165,133.06,31.338,92.828,-47777.0,-72.269,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
Pentadecane,629-62-9,Wax,-91.035,10493.0,11.853,147.46,32.121,98.548,-51454.0,-77.438,90.0,0.001,NaN,Karolat2010,String[],alkane,alkanes,
1-octanol,111-87-5,Wax,-90.329,10696.0,11.698,155.39,32.316,97.259,-53610.0,-80.453,90.0,0.001,NaN,Karolat2010,String[],alcohol,Grob,alcohols
1-nonanol,143-08-8,Wax,-94.871,11333.0,12.273,169.03,33.106,102.04,-57171.0,-85.239,90.0,0.001,NaN,Karolat2010,String[],alcohol,alcohols,
2-octanol,123-96-6,Wax,-88.359,10111.0,11.496,135.16,30.774,95.586,-49359.0,-75.61,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
2-nonanol,628-99-9,Wax,-95.064,10882.0,12.377,149.45,31.6,102.91,-53107.0,-80.885,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
5-nonanol,623-93-8,Wax,-92.447,10581.0,12.032,143.65,31.211,100.04,-51646.0,-78.91,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
5-decanol,5205-34-5,Wax,-98.959,11337.0,12.884,157.24,31.981,107.12,-55363.0,-84.187,90.0,0.001,NaN,Karolat2010,String[],alcohol,,
2-octanone,111-13-7,Wax,-66.084,8103.0,8.5295,118.75,32.265,70.918,-41618.0,-60.487,90.0,0.001,NaN,Karolat2010,String[],ketone,alkanones,
2-decanone,693-54-9,Wax,-73.162,9258.8,9.3929,150.1,33.907,78.097,-48621.0,-69.839,90.0,0.001,NaN,Karolat2010,String[],ketone,alkanones,
C9,111-84-2,FS5ms,-81.1,8555.0,10.74,98.04,30.17,89.34,-38702.0,-58.614,90.0,0.001,NaN,Leppert2020b,String[],alkane,alkanes,
C10,124-18-5,FS5ms,-100.91,10041.0,13.53,118.09,32.24,112.49,-42633.0,-63.382,90.0,0.001,NaN,Leppert2020b,String[],alkane,Grob,alkanes
C11,1120-21-4,FS5ms,-104.58,10717.0,13.96,137.07,33.71,116.04,-46955.0,-69.246,90.0,0.001,NaN,Leppert2020b,String[],alkane,Grob,alkanes
C12,112-40-3,FS5ms,-109.84,11494.0,14.61,154.78,34.92,121.44,-51453.0,-75.718,90.0,0.001,NaN,Leppert2020b,String[],alkane,alkanes,
C13,629-50-5,FS5ms,-114.08,12214.0,15.11,171.32,35.93,125.62,-55930.0,-82.308,90.0,0.001,NaN,Leppert2020b,String[],alkane,alkanes,
C14,629-59-4,FS5ms,-115.71,12769.0,15.25,186.83,36.76,126.76,-60122.0,-87.834,90.0,0.001,NaN,Leppert2020b,String[],alkane,alkanes,
C15,629-62-9,FS5ms,-118.82,13415.0,15.59,201.25,37.39,129.62,-64466.0,-94.201,90.0,0.001,NaN,Leppert2020b,String[],alkane,alkanes,
C16,544-76-3,FS5ms,-130.14,14548.0,17.1,215.1,38.46,142.18,-69327.0,-101.76,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C17,629-78-7,FS5ms,-133.51,15205.0,17.48,227.91,38.95,145.36,-73642.0,-107.99,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C18,593-45-3,FS5ms,-140.94,16119.0,18.44,240.1,39.58,153.29,-78343.0,-114.74,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C19,629-92-5,FS5ms,-146.85,16922.0,19.18,251.8,40.21,159.47,-82785.0,-121.45,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C20,112-95-8,FS5ms,-152.2,17698.0,19.84,262.81,40.67,164.99,-87245.0,-128.1,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C21,629-94-7,FS5ms,-165.32,19007.0,21.58,273.39,41.43,179.47,-92874.0,-137.44,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C22,629-97-0,FS5ms,-169.23,19674.0,22.05,283.55,41.89,183.35,-97001.0,-143.0,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C23,638-67-5,FS5ms,-174.7,20461.0,22.73,293.11,42.25,188.99,-101490.0,-149.5,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C24*,646-31-1,FS5ms,-174.87,20881.0,22.67,302.05,42.21,188.53,-105160.0,-154.35,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C25*,629-99-2,FS5ms,-176.27,21372.0,22.79,310.67,42.26,189.51,-108880.0,-159.12,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C26*,630-01-3,FS5ms,-200.49,23453.0,26.07,320.42,44.16,216.77,-116280.0,-172.46,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C27*,593-49-7,FS5ms,-172.64,21870.0,22.15,326.62,41.9,184.17,-114960.0,-165.62,90.0,0.001,NaN,Leppert2020b,String[],alkane,alkanes,
C28*,630-02-4,FS5ms,-172.89,22254.0,22.12,334.19,41.82,183.91,-118240.0,-169.42,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
C29*,630-03-5,FS5ms,-172.62,22595.0,22.02,341.4,41.67,183.07,-121380.0,-172.91,90.0,0.001,NaN,Leppert2020b,String[],alkane,alkanes,
C30*,638-68-6,FS5ms,-173.26,22994.0,22.04,348.39,41.57,183.28,-124640.0,-177.08,90.0,0.001,NaN,Leppert2020b,String[],alkanes,alkane,
2-Methylhexane,591-76-4,SLB5ms,-53.815,5979.5,6.9793,36.575,25.127,58.029,-28643.0,-47.346,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SLB5ms,-65.065,7837.9,8.342,94.769,28.386,69.359,-39980.0,-62.763,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SLB5ms,-78.343,9301.7,10.095,123.05,29.606,83.934,-46858.0,-72.67,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SLB5ms,-69.549,7455.5,9.1142,66.428,26.445,75.78,-34469.0,-55.772,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SLB5ms,-55.991,6112.9,7.2821,36.388,24.83,60.547,-28838.0,-48.072,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SLB5ms,-67.332,7958.0,8.6675,94.302,28.288,72.066,-39996.0,-62.944,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SLB5ms,-83.936,9625.7,10.895,123.31,29.621,90.583,-47137.0,-73.326,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SLB5ms,-71.054,7571.2,9.3171,66.89,26.261,77.467,-34818.0,-56.657,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SLB5ms,-49.433,5743.6,6.3457,36.233,25.32,52.761,-28595.0,-47.233,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SLB5ms,-66.645,7912.1,8.5745,94.636,28.426,71.292,-39895.0,-62.571,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SLB5ms,-79.791,9374.5,10.307,123.12,29.682,85.695,-46824.0,-72.572,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SLB5ms,-61.973,7014.5,8.0354,66.162,26.85,66.81,-34060.0,-54.629,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SPB50,-34.71,4724.3,4.2419,19.536,24.597,35.269,-26472.0,-45.42,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SPB50,-58.333,7052.5,7.4651,77.565,27.738,62.068,-36098.0,-57.057,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SPB50,-72.504,8864.4,9.2972,121.95,30.071,77.301,-45631.0,-69.852,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SPB50,-60.372,6922.4,7.8201,68.202,27.398,65.02,-33944.0,-53.659,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SPB50,-30.605,4508.1,3.6465,19.165,24.824,30.319,-26472.0,-45.42,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SPB50,-53.164,6805.6,6.7047,77.821,27.666,55.746,-36341.0,-57.669,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SPB50,-79.396,9289.7,10.271,122.07,29.864,85.395,-46228.0,-71.356,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SPB50,-66.417,7343.7,8.6506,69.071,26.719,71.925,-34939.0,-56.316,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SPB50,-45.028,5181.4,5.7804,19.056,24.449,48.061,-25627.0,-43.016,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SPB50,-58.071,7031.8,7.4295,77.4,27.756,61.772,-36033.0,-56.921,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SPB50,-77.532,9134.1,10.024,121.96,30.174,83.344,-45679.0,-69.992,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SPB50,-68.16,7342.6,8.9455,68.413,27.213,74.377,-34040.0,-53.894,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,Wax,-87.495,6649.5,12.187,-6.5593,20.9,101.33,-18489.0,-28.826,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,Wax,-44.577,5688.3,5.6253,50.213,27.024,46.771,-30310.0,-48.153,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,Wax,-89.504,10403.0,11.617,144.14,31.348,96.592,-51414.0,-78.193,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,Wax,-79.062,8708.9,10.344,100.39,28.8,86.006,-41177.0,-64.36,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,Wax,-80.48,6391.2,11.112,-5.6982,20.92,92.391,-19588.0,-32.13,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,Wax,-48.144,5910.5,6.1261,50.592,26.687,50.935,-30646.0,-49.103,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,Wax,-86.851,10261.0,11.234,144.17,31.253,93.406,-51392.0,-78.102,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,Wax,-75.093,8503.8,9.7664,100.31,28.72,81.202,-41216.0,-64.485,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,Wax,-25.103,3602.5,3.0206,-12.475,24.139,25.115,-20832.0,-35.554,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,Wax,-50.425,5975.5,6.4814,49.875,26.881,53.889,-30113.0,-47.698,90.0,0.001,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,Wax,-91.296,10490.0,11.879,144.05,31.449,98.767,-51354.0,-78.093,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,Wax,-79.655,8723.1,10.437,100.29,28.9,86.78,-41014.0,-63.953,90.0,0.001,NaN,McGinitie2011,String[],alcohol,,
1-Undecanol,112-42-5,SLB5ms,-91.556,11217.0,11.775,169.59,32.65,97.9,-57710.0,-86.24,90.0,0.001,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Dodecanol,112-53-8,SLB5ms,-95.906,11905.0,12.306,183.71,33.219,102.32,-61830.0,-91.93,90.0,0.001,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tridecanol,112-70-9,SLB5ms,-100.24,12591.0,12.835,196.9,33.694,106.72,-65930.0,-97.62,90.0,0.001,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tetradecanol,112-72-1,SLB5ms,-104.51,13269.0,13.356,209.38,34.117,111.05,-70000.0,-103.25,90.0,0.001,NaN,McGinitie2011,String[],alcohol,alcohols,
Undecane,1120-21-4,SLB5ms,-73.766,9041.5,9.4606,126.82,30.429,78.66,-46610.0,-70.98,90.0,0.001,NaN,McGinitie2011,String[],alkane,Grob,alkanes
Dodecane,112-40-3,SLB5ms,-89.963,11291.0,11.503,172.98,32.312,95.64,-59150.0,-88.57,90.0,0.001,NaN,McGinitie2011,String[],alkane,alkanes,
Tridecane,629-50-5,SLB5ms,-84.144,10518.0,10.762,158.57,31.741,89.48,-54960.0,-82.66,90.0,0.001,NaN,McGinitie2011,String[],alkane,alkanes,
